X,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,Depth,pH,Date1,Day.of.year,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,decimal_dat,Month_abb,PRO.mL,SYN.mL,PEUK.mL,HBACT.mL,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro,Log_Chla,Log_HBACT.mL,Log_SYN.mL,Log_PEUK.mL,Log_PRO.mL,Log_Phosphate,Log_Silicate,Log_NitrateNitrite,Log_Ammonia,Log_Lut.Rel,Log_Peri.Rel,Log_Dva.Rel,Log_plus_PRO.mL,Log_plus_Lut.Rel,Metagenome,Metagenome_ID
121317_5,121317_5,NA,NA,NA,NA,0.15,0.04,1.03,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.025,35.1392,5,8.067,12/13/17,NA,14,22,NA,2,14,NA,22,8,4,NA,4,NA,3,0,NA,3,NA,1,54,84,62,146,0.095890411,0.150684932,NA,NA,NA,NA,NA,NA,NA,NA,0.02739726,NA,0.020547945,0,NA,0.020547945,NA,0.006849315,0.369863014,0.575342466,NA,ALOHA,2017.947945,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0025,0.0283,-1.897119985,NA,NA,NA,NA,-3.218875825,0.029558802,NA,NA,#NAME?,-3.884994343,-0.552789822,NA,0,NA,NA
121417_5,121417_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.0638,35.1054,5,NA,12/14/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.950685,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11718_5,11718_5,NA,NA,NA,NA,0.07,0.06,1.19,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.457,34.9707,5,NA,1/17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.043836,NA,196000,1900,1300,471600,NA,ALOHA,22.45,-158,NA,NA,-2.659260037,13.06388645,7.549609165,7.170119543,12.18586994,-2.813410717,0.173953307,NA,NA,NA,NA,NA,12.18587504,NA,NA,NA
11818_5,11818_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.3909,34.9927,5,NA,1/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.046575,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22518_5,22518_5,NA,NA,NA,NA,0.12,0.03,1.31,NA,NA,NA,NA,NA,NA,ALOHA,NA,23.1339,35.0396,5,NA,2/25/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.150685,NA,182000,4000,2000,410900,NA,ALOHA,22.45,-158,NA,NA,-2.120263536,12.92610515,8.29404964,7.60090246,12.11176197,-3.506557897,0.270027137,NA,NA,NA,NA,NA,12.11176746,NA,NA,NA
22618_5,22618_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,23.1059,35.0485,5,8.056,2/26/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.153425,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0048,0.0479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22718_5,22718_5,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,23.0286,35.0923,5,NA,2/27/18,NA,8,16,NA,2,9,NA,13,6,6,NA,5,NA,8,1,NA,2,NA,1,63,78,59,137,0.058823529,0.117647059,NA,NA,NA,NA,NA,NA,NA,NA,0.036764706,NA,0.058823529,0.007352941,NA,0.014705882,NA,0.007352941,0.463235294,0.573529412,NA,ALOHA,2018.156164,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.040220829,NA,NA,NA,NA,NA,NA,NA,NA,-4.91265491,-4.219507729,-0.555946059,NA,0.00732604,NA,NA
41718_5,41718_5,NA,NA,NA,NA,NA,0.07,1.25,NA,NA,NA,NA,NA,NA,ALOHA,NA,23.6114,35.0619,5,NA,4/17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.290411,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,-2.659260037,0.223143551,NA,NA,NA,NA,NA,NA,NA,NA,NA
41818_5,41818_5,NA,NA,NA,NA,0.08,0.03,1.21,NA,NA,NA,NA,NA,NA,ALOHA,NA,23.5652,35.0757,5,8.045,4/18/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.293151,NA,201400,2600,2200,527000,NA,ALOHA,22.45,-158,0.0013,0.0352,-2.525728644,13.17495583,7.863266724,7.696212639,12.21304826,-3.506557897,0.19062036,NA,NA,NA,NA,NA,12.21305322,NA,NA,NA
41918_5,41918_5,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,23.5086,35.0972,5,NA,4/19/18,NA,2,4,NA,1,4,NA,6,3,3,NA,2,NA,4,0,NA,1,NA,0,42,41,19,60,0.033333333,0.066666667,NA,NA,NA,NA,NA,NA,NA,NA,0.033333333,NA,0.066666667,0,NA,0.016666667,NA,0,0.7,0.683333333,NA,ALOHA,2018.29589,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.407945609,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,-4.094344542,-0.380772496,NA,0,NA,NA
51518_5,51518_5,NA,NA,NA,NA,NA,0.09,1.85,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.35,34.8087,5,NA,5/15/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.367123,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,-2.407945609,0.615185639,NA,NA,NA,NA,NA,NA,NA,NA,NA
51618_5,51618_5,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.6641,34.7964,5,8.057,5/16/18,NA,3,8,NA,1,6,NA,4,4,3,NA,5,NA,5,1,NA,1,NA,1,49,46,26,72,0.041666667,0.111111111,NA,NA,NA,NA,NA,NA,NA,NA,0.069444444,NA,0.069444444,0.013888889,NA,0.013888889,NA,0.013888889,0.680555556,0.638888889,NA,ALOHA,2018.369863,NA,188000,1500,1100,446400,NA,ALOHA,22.45,-158,0.0015,0.0752,-2.407945609,13.00897069,7.313220387,7.003065459,12.14419724,NA,NA,NA,NA,-4.276666111,-4.276666111,-0.448024722,12.14420256,0.013793322,NA,NA
51718_5,51718_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.3159,34.8272,5,NA,5/17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.372603,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62618_5,62618_5,NA,NA,NA,NA,0.06,0.11,1.16,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.8718,34.6885,5,NA,6/26/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.482192,NA,NA,1100,1100,427000,NA,ALOHA,22.45,-158,NA,NA,-2.813410717,12.96453929,7.003065459,7.003065459,NA,-2.207274913,0.148420005,NA,NA,NA,NA,NA,NA,NA,NA,NA
62718_5,62718_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.991,34.7053,5,8.066,6/27/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.484932,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0017,0.0889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62818_5,62818_5,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.9874,34.7405,5,NA,6/28/18,NA,2,6,NA,1,4,NA,4,2,1,NA,3,NA,3,2,NA,1,NA,1,43,33,29,62,0.032786885,0.098360656,NA,NA,NA,NA,NA,NA,NA,NA,0.049180328,NA,0.049180328,0.032786885,NA,0.016393443,NA,0.016393443,0.704918033,0.540983607,NA,ALOHA,2018.487671,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.995732274,NA,NA,NA,NA,NA,NA,NA,NA,-3.417726691,-4.110873841,-0.614366302,NA,0.032260862,NA,NA
72418_5,72418_5,NA,NA,NA,NA,0.07,0.04,0.83,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.7428,34.9709,5,NA,7/24/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.558904,NA,208100,1100,700,416300,NA,ALOHA,22.45,-158,NA,NA,-2.659260037,12.93916143,7.003065459,6.551080335,12.24577401,-3.218875825,-0.186329578,NA,NA,NA,NA,NA,12.24577882,NA,NA,NA
72518_5,72518_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.91,34.9867,5,8.067,7/25/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.561644,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0018,0.0459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72618_5,72618_5,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.051,35.0635,5,NA,7/26/18,NA,3,9,NA,5,2,NA,6,3,4,NA,6,NA,4,1,NA,2,NA,1,58,38,31,69,0.043478261,0.130434783,NA,NA,NA,NA,NA,NA,NA,NA,0.086956522,NA,0.057971014,0.014492754,NA,0.028985507,NA,0.014492754,0.84057971,0.550724638,NA,ALOHA,2018.564384,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.813410717,NA,NA,NA,NA,NA,NA,NA,NA,-4.234106479,-3.540959333,-0.596520344,NA,0.014388738,NA,NA
91018_5,91018_5,NA,NA,NA,NA,0.05,0.1,2.05,NA,NA,NA,NA,NA,NA,ALOHA,NA,27.1003,34.5855,5,NA,9/10/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.690411,NA,192900,1400,800,501800,NA,ALOHA,22.45,-158,NA,NA,-2.995732274,13.12595691,7.244227516,6.684611728,12.1699272,-2.302585093,0.717839793,NA,NA,NA,NA,NA,12.16993238,NA,NA,NA
91118_5,91118_5,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,27.4464,34.5684,5,8.079,9/11/18,NA,2,7,NA,4,2,NA,4,2,3,NA,3,NA,3,1,NA,1,NA,1,51,32,23,55,0.037037037,0.12962963,NA,NA,NA,NA,NA,NA,NA,NA,0.055555556,NA,0.055555556,0.018518519,NA,0.018518519,NA,0.018518519,0.944444444,0.592592593,NA,ALOHA,2018.693151,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0034,0.086,-2.995732274,NA,NA,NA,NA,NA,NA,NA,NA,-3.988984021,-3.988984021,-0.523248143,NA,0.018349139,NA,NA
91218_5,91218_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,27.2893,34.5816,5,NA,9/12/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.69589,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101218_5,101218_5,NA,NA,NA,NA,0.08,0.04,0.95,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.5416,35.0054,5,NA,10/12/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.778082,NA,227600,1100,700,433900,NA,ALOHA,22.45,-158,NA,NA,-2.525728644,12.98056937,7.003065459,6.551080335,12.33534498,-3.218875825,-0.051293294,NA,NA,NA,NA,NA,12.33534937,NA,NA,NA
101318_5,101318_5,NA,NA,NA,NA,NA,0.04,0.86,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.5902,34.9926,5,NA,10/13/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.780822,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0021,0.0215,NA,NA,NA,NA,NA,-3.218875825,-0.15082289,NA,NA,NA,NA,NA,NA,NA,NA,NA
101418_5,101418_5,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.6216,34.9708,5,NA,10/14/18,NA,3,13,NA,5,4,NA,8,3,5,NA,5,NA,3,2,NA,1,NA,1,60,46,25,71,0.042253521,0.183098592,NA,NA,NA,NA,NA,NA,NA,NA,0.070422535,NA,0.042253521,0.028169014,NA,0.014084507,NA,0.014084507,0.845070423,0.647887324,NA,ALOHA,2018.783562,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.659260037,NA,NA,NA,NA,NA,NA,NA,NA,-3.569532699,-4.26267988,-0.43403848,NA,0.027779564,NA,NA
111618_5,111618_5,NA,NA,NA,NA,0.1,0.03,1.19,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.6176,35.1159,5,NA,11/16/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.873973,NA,190500,1600,700,424100,NA,ALOHA,22.45,-158,NA,NA,-2.302585093,12.95772456,7.377758908,6.551080335,12.15740747,-3.506557897,0.173953307,NA,NA,NA,NA,NA,12.15741272,NA,NA,NA
111718_5,111718_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.6576,35.1102,5,8.06,11/17/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2018.876712,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0037,0.0117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111818_5,111818_5,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,25.5607,35.1097,5,NA,11/18/18,NA,6,18,NA,0,4,NA,12,6,5,NA,5,NA,3,2,NA,3,NA,1,64,85,36,121,0.049586777,0.148760331,NA,NA,NA,NA,NA,NA,NA,NA,0.041322314,NA,0.024793388,0.016528926,NA,0.024793388,NA,0.008264463,0.52892562,0.702479339,NA,ALOHA,2018.879452,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.207274913,NA,NA,NA,NA,NA,NA,NA,NA,-4.102643342,-3.697178274,-0.353139289,NA,0.01639381,NA,NA
