,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
ARJn0508,ARJn0508,2019,20,Spring,June,1.6,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:23:00,28.99,36.12,99.2,2.071,7.71,6/14/19,2019-06-14,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/14/19,2019.449315,Jun,1405,357408,15823,2224151,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARJu0838,ARJu0838,2021,36,Summer,June,0.9,NA,NA,NA,NA,NA,NA,NA,NA,AR,10:59,28,34.66,-,1.901,7.9,6/21/21,2021-06-21,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/21/21,2021.468493,Jun,460,143402,10203,1481445,Run2,Coastal,21.46765,-157.83585,NA,NA
ARJy0245,ARJy0245,2018,11,Summer,July,1.6,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:13:00,27.84,33.83,4.4,2.31,7.93,7/23/18,2018-07-23,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/23/18,2018.556164,Jul,22966,505825,22519,2016369,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARJy0668,ARJy0668,2020,28,Summer,July,1.3,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:47:00,28.1,33.23,-,1.956,7.71,7/21/20,2020-07-21,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,7/21/20,2020.551913,Jul,0,224077,23530,1238013,Run2,Coastal,21.46765,-157.83585,NA,NA
ARMa0157,ARMa0157,2018,7,Winter,March,1.6,0.14,12.35,0.77,0.85,1.62,11.57,0.06,0.13,AR,8:44:00,24.1,34.12,103.9,1.995,8.01,3/28/18,2018-03-28,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/28/18,2018.235616,Mar,25894,305383,17372,1447975,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARMa0628,ARMa0628,2020,26,Winter,March,2.9,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:11:00,25.66,30.76,-,1.997,7.89,3/20/20,2020-03-20,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/20/20,2020.215847,Mar,3361,228253,29059,1102542,Run2,Coastal,21.46765,-157.83585,NA,NA
ARMy0177,ARMy0177,2018,8,Spring,May,1.3,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:18:00,24.62,33.88,106.5,1.942,8.07,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,8115,212535,19145,1382518,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARMy0488,ARMy0488,2019,19,Spring,May,1.8,NA,NA,NA,NA,NA,NA,NA,NA,AR,11:32:00,27.53,36.13,-99.9,2.27,7.66,5/21/19,2019-05-21,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/21/19,2019.383562,May,5659,296415,27903,2116741,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARMy0648,ARMy0648,2020,27,Spring,May,1.8,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:25:00,26.48,33.21,-,2.043,7.71,5/14/20,2020-05-14,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/14/20,2020.36612,May,1431,212325,12763,1839510,Run2,Coastal,21.46765,-157.83585,NA,NA
ARMy0818,ARMy0818,2021,35,Spring,May,1.2,0.1,12.78,0.15,NA,NA,NA,0.01,NA,AR,10:51,25.7,34.95,-,1.929,7.85,5/24/21,2021-05-24,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/24/21,2021.391781,May,2219,361084,22926,1705680,Run2,Coastal,21.46765,-157.83585,NA,NA
ARNo0075,ARNo0075,2017,3,Fall,November,1.9,NA,NA,NA,NA,NA,NA,NA,NA,AR,10:14:00,26.5,34.09,102.1,2.03,7.98,11/1/17,2017-11-01,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/1/17,2017.832877,Nov,0,118676,31750,1046106,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARNo0323,ARNo0323,2018,14,Fall,November,1.9,NA,NA,NA,NA,NA,NA,NA,NA,AR,11:42:00,27.04,33.67,-99.9,1.74,7.77,11/9/18,2018-11-09,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/9/18,2018.854795,Nov,460,193220,10531,1474591,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARNo0728,ARNo0728,2020,31,Fall,November,2.2,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:29,25.97,35.14,-,2.374,8.02,11/16/20,2020-11-16,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,11/16/20,2020.874317,Nov,0,190870,24791,1616299,Run2,Coastal,21.46765,-157.83585,NA,NA
AROc0291,AROc0291,2018,13,Fall,October,2,0.06,13.53,0.08,0.11,0.19,3.17,0.01,0.01,AR,10:58:00,27.81,34.5,-99.9,2.39,7.91,10/11/18,2018-10-11,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/11/18,2018.775342,Oct,4872,515857,19460,1988886,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
AROc0568,AROc0568,2019,23,Fall,October,1.3,NA,NA,NA,NA,NA,NA,NA,NA,AR,9:29:00,27.84,33.2,-,1.864,7.91,10/7/19,2019-10-07,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/7/19,2019.764384,Oct,0,228608,13971,1352973,Run2,Coastal,21.46765,-157.83585,NA,NA
ARSe0055,ARSe0055,2017,2,Summer,September,2.1,0.13,19.55,0.43,0.18,0.61,4.69,0.02,0.03,AR,8:12:00,27,35,119,1.85,7.96,9/20/17,2017-09-20,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/20/17,2017.717808,Sep,0,121710,13026,1321775,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARSe0265,ARSe0265,2018,12,Summer,September,2,NA,NA,NA,NA,NA,NA,NA,NA,AR,14:04:00,28.65,31.86,26.7,1.92,7.92,9/11/18,2018-09-11,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/11/18,2018.693151,Sep,7196,562918,34508,1868056,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARSe0708,ARSe0708,2020,30,Summer,September,3.6,0.29,42.23,0.06,NA,NA,NA,0,NA,AR,14:16:00,28.29,33.09,-,1.981,7.88,9/22/20,2020-09-22,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,9/22/20,2020.724044,Sep,0,393544,24633,2195342,Run2,Coastal,21.46765,-157.83585,NA,NA
CB178_R2,CB178_R2,2018,8,Spring,May,1,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:32:00,24.26,33.57,98.3,2.083,8.06,5/1/18,2018-05-01,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,5/1/18,2018.328767,May,5449,158108,19801,1199001,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CB292_R2,CB292_R2,2018,13,Fall,October,1.6,0.04,11.3,0.04,NA,NA,NA,0,NA,CB,13:17:00,27.7,34.05,-99.9,2.248,7.9,10/11/18,2018-10-11,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,10/11/18,2018.775342,Oct,6342,421578,18830,2326361,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CB36_R2,CB36_R2,2017,1,Summer,August,1.4,NA,NA,NA,NA,NA,NA,NA,NA,CB,8:39:00,27.71,35.16,155.6,1.65,8.01,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,0,339130,19604,1473567,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBAp0452,CBAp0452,2019,18,Spring,April,2.2,NA,NA,NA,NA,NA,NA,NA,NA,CB,14:32:00,25.43,36.62,-99,2.145,7.77,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,6145,212194,18173,1558064,Run_Aug2022,Coastal,21.45705,-157.81135,NA,NA
CBAp0789,CBAp0789,2021,34,Spring,April,0.7,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:24,24.61,34.32,-,1.912,7.83,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,2009,119569,7629,1365737,Run2,Coastal,21.45705,-157.81135,NA,NA
CBAu0529,CBAu0529,2019,21,Summer,August,1.1,NA,NA,NA,NA,NA,NA,NA,NA,CB,13:21:00,29.16,33.15,99.2,2.101,8.06,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,6605,588970,54112,2744486,Run2,Coastal,21.45705,-157.81135,NA,NA
CBAu0549,CBAu0549,2019,22,Summer,August,0.9,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:40:00,29,33.12,-64,1.9,8.07,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,0,538390,30805,2293652,Run2,Coastal,21.45705,-157.81135,NA,NA
CBAu0689,CBAu0689,2020,29,Summer,August,0.4,NA,NA,NA,NA,NA,NA,NA,NA,CB,12:52:00,28.4,33.59,-,2.045,7.87,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,0,83972,5541,1213695,Run2,Coastal,21.45705,-157.81135,NA,NA
